donorID,campaignID,amount,date
D100001,,"12,39",23/03/2004
D100001,1577,"12,39",11/10/2007
D100001,1634,"6,69",28/12/2007
D100001,1778,"24,79",14/06/2008
D100001,1808,"7,44",09/07/2008
D100001,1933,"24,79",01/12/2008
D100001,2094,"30,0",25/05/2009
D100001,2335,"20,0",26/02/2010
D100001,2550,"10,0",08/10/2010
D100001,2653,"10,0",05/02/2011
D100001,2714,"10,0",02/06/2011
D100001,3049,"10,0",30/12/2011
D100002,3941,"20,0",10/01/2015
D100003,4801,"5,0",27/07/2017
D100003,4830,"3,0",11/08/2017
D100003,4990,"3,0",16/09/2017
D100003,5326,"4,0",15/06/2018
D100003,5359,"3,0",08/07/2018
D100003,6168,"4,0",04/09/2018
D100003,6922,"4,0",23/10/2018
D100003,7037,"4,0",24/01/2019
D100003,7074,"4,0",08/03/2019
D100003,7090,"4,0",25/03/2019
D100003,7212,"4,0",06/05/2019
D100003,7243,"4,0",17/06/2019
D100004,711,"24,79",02/07/2005
D100004,767,"24,79",01/08/2005
D100004,901,"24,79",07/12/2005
D100004,930,"24,79",17/12/2005
D100004,,"24,79",30/03/2006
D100004,1148,"24,79",05/07/2006
D100004,1218,"24,79",09/10/2006
D100004,1248,"24,79",05/12/2006
D100004,1338,"24,79",24/02/2007
D100004,1343,"24,79",16/03/2007
D100004,1489,"24,79",02/07/2007
D100004,1626,"24,79",04/12/2007
D100004,1634,"24,79",14/12/2007
D100004,1663,"24,79",16/01/2008
D100004,1790,"24,79",24/06/2008
D100004,1929,"24,79",19/11/2008
D100004,1949,"49,58",12/12/2008
D100004,1991,"30,0",08/02/2009
D100004,2021,"30,0",14/03/2009
D100004,2105,"30,0",08/06/2009
D100004,2256,"30,0",20/12/2009
D100004,2319,"30,0",19/02/2010
D100004,2360,"30,0",02/04/2010
D100004,2550,"30,0",01/10/2010
D100004,2653,"30,0",05/02/2011
D100004,2714,"30,0",03/06/2011
D100005,1212,"2,48",07/10/2006
D100005,1245,"2,48",08/11/2006
D100005,4500,"5,0",26/10/2016
D100005,5326,"5,0",19/06/2018
D100005,7108,"10,0",18/04/2019
D100006,4830,"5,0",15/08/2017
D100007,,"24,79",04/09/2006
D100007,1212,"24,79",24/09/2006
D100007,1634,"24,79",12/12/2007
D100007,1808,"24,79",02/07/2008
D100007,2123,"30,0",14/06/2009
D100007,2296,"30,0",27/01/2010
D100007,2360,"33,0",06/04/2010
D100007,2711,"33,0",22/04/2011
D100007,2994,"35,0",25/11/2011
D100007,3254,"39,0",20/08/2012
D100007,3449,"30,0",04/05/2013
D100007,3786,"30,0",13/05/2014
D100007,4148,"30,0",18/08/2015
D100007,5062,"40,0",30/11/2017
D100008,1428,"49,58",21/06/2007
D100008,1601,"24,79",11/11/2007
D100008,2963,"50,0",28/10/2011
D100009,954,"12,39",17/01/2006
D100009,1218,"12,39",08/10/2006
D100009,1317,"12,39",21/01/2007
D100009,1601,"7,44",10/11/2007
D100009,1790,"12,39",11/06/2008
D100009,1903,"12,39",16/10/2008
D100009,1949,"12,39",27/12/2008
D100009,1991,"15,0",02/02/2009
D100009,2035,"25,0",01/04/2009
D100009,2144,"25,0",31/07/2009
D100009,2193,"25,0",11/09/2009
D100009,2351,"20,0",14/03/2010
D100009,2485,"20,0",21/08/2010
D100009,2566,"20,0",01/11/2010
D100009,2710,"20,0",24/04/2011
D100009,2714,"10,0",05/06/2011
D100009,2905,"25,0",29/08/2011
D100009,3033,"20,0",21/12/2011
D100009,3125,"20,0",25/03/2012
D100010,3941,"40,0",13/01/2015
D100011,4213,"100,0",02/12/2015
D100012,4210,"5,0",02/11/2015
D100013,4213,"30,0",06/12/2015
D100014,2414,"30,0",10/05/2010
D100015,3941,"6,25",01/01/2015
D100015,4223,"5,0",29/04/2016
D100015,4674,"20,0",22/12/2016
D100015,4685,"5,0",23/05/2017
D100015,4687,"10,0",11/07/2017
D100016,954,"32,23",15/01/2006
D100017,1245,"12,39",22/11/2006
D100017,1626,"12,39",01/12/2007
D100017,1903,"14,63",15/10/2008
D100017,1949,"12,39",22/12/2008
D100018,3941,"5,0",30/12/2014
D100019,3528,"30,0",04/07/2013
D100019,3816,"30,0",22/10/2014
D100019,4223,"30,0",11/05/2016
D100020,,"24,79",05/12/2001
D100020,1185,"24,79",24/08/2006
D100020,1424,"24,79",19/05/2007
D100020,1755,"24,79",08/05/2008
D100020,1966,"12,39",18/01/2009
D100020,2285,"35,0",05/01/2010
D100020,2713,"30,0",27/05/2011
D100020,4801,"20,0",24/07/2017
D100021,1026,"24,79",26/03/2006
D100021,1058,"12,39",18/05/2006
D100021,1185,"4,96",23/08/2006
D100021,1374,"4,96",23/03/2007
D100021,1739,"24,79",25/04/2008
D100021,1790,"24,79",19/06/2008
D100021,1929,"24,79",29/11/2008
D100021,2470,"30,0",07/08/2010
D100021,2550,"30,0",02/10/2010
D100022,3505,"12,5",15/05/2013
D100022,3664,"12,5",10/12/2013
D100023,4210,"6,5",20/10/2015
D100023,6169,"15,0",15/09/2018
D100023,7108,"6,5",10/04/2019
D100023,7346,"6,5",07/09/2019
D100024,796,"49,58",03/09/2005
D100024,858,"37,18",07/11/2005
D100024,930,"37,18",21/12/2005
D100024,1000,"24,79",15/03/2006
D100024,1101,"24,79",13/06/2006
D100024,1465,"24,79",30/06/2007
D100024,1755,"46,48",09/05/2008
D100024,1778,"24,79",10/06/2008
D100024,1929,"37,18",12/11/2008
D100024,2094,"25,0",29/05/2009
D100024,2351,"25,0",23/03/2010
D100024,3129,"35,0",25/03/2012
D100025,768,"6,2",14/08/2005
D100025,796,"7,44",25/08/2005
D100025,816,"9,92",29/09/2005
D100025,858,"9,92",27/10/2005
D100025,979,"7,44",14/02/2006
D100025,1000,"7,44",13/03/2006
D100025,1280,"12,39",11/12/2006
D100025,1317,"12,39",15/01/2007
D100025,1343,"6,2",01/03/2007
D100025,1374,"6,2",04/04/2007
D100025,1397,"12,39",07/05/2007
D100025,1424,"6,35",24/05/2007
D100025,1465,"12,39",16/06/2007
D100025,1489,"12,39",12/07/2007
D100025,1529,"14,87",19/08/2007
D100025,1556,"12,39",26/09/2007
D100025,1577,"6,2",19/10/2007
D100025,1601,"7,44",08/11/2007
D100025,1634,"12,39",18/12/2007
D100025,1663,"9,92",13/01/2008
D100025,1699,"6,2",13/03/2008
D100025,1736,"12,39",29/03/2008
D100025,1755,"6,2",14/05/2008
D100025,1790,"6,2",06/06/2008
D100025,1778,"12,39",12/06/2008
D100025,1843,"12,39",17/07/2008
D100025,1878,"9,92",15/10/2008
D100025,1903,"9,92",26/10/2008
D100025,1929,"9,92",24/11/2008
D100025,1949,"24,79",21/12/2008
D100025,1962,"7,44",28/12/2008
D100025,1991,"20,0",31/01/2009
D100025,2035,"30,0",31/03/2009
D100025,2059,"20,0",26/04/2009
D100025,,"20,0",29/05/2009
D100025,2094,"20,0",03/06/2009
D100025,2105,"20,0",15/06/2009
D100025,2123,"20,0",24/06/2009
D100025,2133,"20,0",14/07/2009
D100025,2144,"20,0",11/08/2009
D100025,2193,"20,0",03/09/2009
D100025,2224,"20,0",06/10/2009
D100025,2233,"20,0",27/11/2009
D100025,2256,"20,0",08/12/2009
D100025,2296,"20,0",23/01/2010
D100025,2319,"20,0",18/02/2010
D100025,2360,"20,0",10/04/2010
D100025,2389,"20,0",16/04/2010
D100025,2451,"20,0",16/07/2010
D100025,2485,"20,0",22/08/2010
D100025,2498,"15,0",30/08/2010
D100025,2534,"15,0",14/09/2010
D100025,2550,"15,0",07/10/2010
D100025,2553,"15,0",29/10/2010
D100025,2632,"20,0",11/01/2011
D100025,2653,"25,0",05/02/2011
D100025,2695,"20,0",24/03/2011
D100025,2711,"20,0",18/04/2011
D100025,2710,"20,0",25/04/2011
D100025,2712,"20,0",28/04/2011
D100025,2713,"10,0",23/05/2011
D100025,2838,"20,0",12/07/2011
D100025,2871,"20,0",26/07/2011
D100025,2905,"20,0",24/08/2011
D100025,2945,"20,0",20/10/2011
D100025,2964,"20,0",10/11/2011
D100025,2994,"20,0",20/11/2011
D100025,3016,"15,0",29/11/2011
D100025,3033,"20,0",27/12/2011
D100025,3049,"20,0",29/12/2011
D100025,3079,"15,0",31/01/2012
D100025,3125,"15,0",11/03/2012
D100025,3183,"15,0",17/04/2012
D100025,3184,"15,0",27/04/2012
D100025,3187,"15,0",25/05/2012
D100025,3188,"15,0",20/06/2012
D100025,3189,"20,0",28/06/2012
D100025,3236,"20,0",09/07/2012
D100025,3254,"15,0",14/08/2012
D100025,3277,"15,0",03/09/2012
D100025,3300,"15,0",24/09/2012
D100025,3346,"20,0",08/11/2012
D100025,3440,"15,0",13/02/2013
D100025,3441,"15,0",04/03/2013
D100025,3443,"20,0",07/03/2013
D100025,3444,"15,0",27/03/2013
D100025,3445,"15,0",04/04/2013
D100025,3448,"15,0",16/04/2013
D100025,3449,"20,0",06/05/2013
D100025,3527,"20,0",02/07/2013
D100025,3565,"20,0",22/09/2013
D100025,3603,"15,0",26/10/2013
